ID_Customer,Nama_Customer,Gender,Alamat,Kota
C01867,Naufal Saputra,Laki-laki,"Jl. Kenanga No.333, Surabaya, Jatim, 60111",Surabaya
C01389,Bella Wijaya,Laki-laki,"Jl. Cempaka No.315, Surabaya, Jatim, 60111",Surabaya
C04455,Fajar Harahap,Laki-laki,"Jl. Mawar No.206, Denpasar, Bali, 80111",Denpasar
C03574,Surya Wijaya,Perempuan,"Jl. Melati No.228, Semarang, Jateng, 50111",Semarang
C00950,Surya Santoso,Laki-laki,"Jl. Kenanga No.110, Jakarta, DKI, 10110",Jakarta
C03770,Alya Putri,Laki-laki,"Jl. Mawar No.272, Makassar, Sulsel, 90111",Makassar
C01286,Vania Simanjuntak,Laki-laki,"Jl. Kenanga No.361, Denpasar, Bali, 80111",Denpasar
C03635,Nanda Kusuma,Laki-laki,"Jl. Mawar No.48, Denpasar, Bali, 80111",Denpasar
C03306,Tara Siregar,Perempuan,"Jl. Mawar No.203, Denpasar, Bali, 80111",Denpasar
C03014,Miko Sari,Laki-laki,"Jl. Anggrek No.333, Bandung, Jawa Barat, 40111",Bandung
C01311,Satria Wijaya,Perempuan,"Jl. Mawar No.124, Semarang, Jateng, 50111",Semarang
C03605,Bella Fauzan,Perempuan,"Jl. Anggrek No.33, Yogyakarta, DIY, 55111",Yogyakarta
C03990,Nadia Sari,Laki-laki,"Jl. Mawar No.110, Makassar, Sulsel, 90111",Makassar
C03242,Cahya Pratama,Perempuan,"Jl. Mawar No.47, Yogyakarta, DIY, 55111",Yogyakarta
C02462,Gilang Sari,Perempuan,"Jl. Melati No.65, Jakarta, DKI, 10110",Jakarta
C01071,Dinda Utami,Laki-laki,"Jl. Anggrek No.79, Denpasar, Bali, 80111",Denpasar
C01409,Arif Lestari,Laki-laki,"Jl. Anggrek No.279, Yogyakarta, DIY, 55111",Yogyakarta
C03151,Eko Aditya,Perempuan,"Jl. Kenanga No.204, Surabaya, Jatim, 60111",Surabaya
C03338,Lestari Lubis,Perempuan,"Jl. Kenanga No.282, Jakarta, DKI, 10110",Jakarta
C01235,Bella Pamungkas,Perempuan,"Jl. Mawar No.27, Jakarta, DKI, 10110",Jakarta
C02675,Dimas Gani,Laki-laki,"Jl. Melati No.96, Medan, Sumut, 20111",Medan
C03972,Rina Saputra,Perempuan,"Jl. Cempaka No.45, Makassar, Sulsel, 90111",Makassar
C03017,Deny Fauzan,Laki-laki,"Jl. Kenanga No.74, Yogyakarta, DIY, 55111",Yogyakarta
C04336,Nadia Kusuma,Laki-laki,"Jl. Cempaka No.168, Jakarta, DKI, 10110",Jakarta
C02268,Daffa Pratama,Laki-laki,"Jl. Melati No.27, Surabaya, Jatim, 60111",Surabaya
C00038,Gilang Simanjuntak,Laki-laki,"Jl. Melati No.140, Jakarta, DKI, 10110",Jakarta
C01644,Fajar Putri,Perempuan,"Jl. Melati No.211, Yogyakarta, DIY, 55111",Yogyakarta
C03456,Gilang Utami,Laki-laki,"Jl. Melati No.7, Medan, Sumut, 20111",Medan
C01141,Salsa Fauzan,Laki-laki,"Jl. Cempaka No.194, Semarang, Jateng, 50111",Semarang
C03196,Tomi Nainggolan,Perempuan,"Jl. Mawar No.49, Semarang, Jateng, 50111",Semarang
C00603,Dimas Prakoso,Laki-laki,"Jl. Cempaka No.380, Bandung, Jawa Barat, 40111",Bandung
C00475,Vania Kusuma,Laki-laki,"Jl. Melati No.333, Jakarta, DKI, 10110",Jakarta
C04089,Eko Saputra,Perempuan,"Jl. Anggrek No.210, Yogyakarta, DIY, 55111",Yogyakarta
C04040,Satria Kusuma,Laki-laki,"Jl. Melati No.61, Jakarta, DKI, 10110",Jakarta
C00151,Vera Wijaya,Perempuan,"Jl. Melati No.297, Bandung, Jawa Barat, 40111",Bandung
C03184,Rina Putra,Perempuan,"Jl. Kenanga No.3, Medan, Sumut, 20111",Medan
C04070,Dewi Gani,Laki-laki,"Jl. Kenanga No.200, Denpasar, Bali, 80111",Denpasar
C00579,Zahra Mahardika,Laki-laki,"Jl. Anggrek No.270, Semarang, Jateng, 50111",Semarang
C02649,Bagus Pamungkas,Laki-laki,"Jl. Anggrek No.138, Surabaya, Jatim, 60111",Surabaya
C03878,Zahra Lubis,Laki-laki,"Jl. Kenanga No.71, Yogyakarta, DIY, 55111",Yogyakarta
C02333,Deny Santoso,Laki-laki,"Jl. Mawar No.54, Semarang, Jateng, 50111",Semarang
C03539,Bella Lestari,Laki-laki,"Jl. Mawar No.241, Medan, Sumut, 20111",Medan
C02770,Vania Lubis,Laki-laki,"Jl. Anggrek No.339, Jakarta, DKI, 10110",Jakarta
C03959,Dinda Fauzan,Perempuan,"Jl. Cempaka No.179, Semarang, Jateng, 50111",Semarang
C00915,Salsa Saputra,Perempuan,"Jl. Kenanga No.378, Yogyakarta, DIY, 55111",Yogyakarta
C01173,Vera Pamungkas,Perempuan,"Jl. Mawar No.98, Makassar, Sulsel, 90111",Makassar
C02404,Rizky Rahma,Perempuan,"Jl. Anggrek No.266, Surabaya, Jatim, 60111",Surabaya
C03851,Zahra Ramadhan,Laki-laki,"Jl. Melati No.30, Surabaya, Jatim, 60111",Surabaya
C00638,Vera Sari,Perempuan,"Jl. Cempaka No.184, Bandung, Jawa Barat, 40111",Bandung
C00297,Deny Aditya,Laki-laki,"Jl. Cempaka No.28, Medan, Sumut, 20111",Medan
C01009,Rina Mahardika,Perempuan,"Jl. Kenanga No.99, Denpasar, Bali, 80111",Denpasar
C03658,Vera Saputra,Laki-laki,"Jl. Kenanga No.377, Bandung, Jawa Barat, 40111",Bandung
C04025,Putri Nainggolan,Perempuan,"Jl. Melati No.263, Bandung, Jawa Barat, 40111",Bandung
C03564,Surya Putra,Perempuan,"Jl. Kenanga No.159, Semarang, Jateng, 50111",Semarang
C04345,Dinda Wijaya,Laki-laki,"Jl. Melati No.44, Yogyakarta, DIY, 55111",Yogyakarta
C00026,Gilang Aditya,Laki-laki,"Jl. Melati No.139, Medan, Sumut, 20111",Medan
C00829,Tomi Putra,Perempuan,"Jl. Cempaka No.103, Semarang, Jateng, 50111",Semarang
C00041,Dian Simanjuntak,Laki-laki,"Jl. Mawar No.262, Yogyakarta, DIY, 55111",Yogyakarta
C04359,Zahra Utami,Perempuan,"Jl. Kenanga No.232, Makassar, Sulsel, 90111",Makassar
C02056,Vania Harahap,Laki-laki,"Jl. Anggrek No.332, Semarang, Jateng, 50111",Semarang
C02224,Dimas Putra,Laki-laki,"Jl. Mawar No.151, Semarang, Jateng, 50111",Semarang
C04035,Cahya Sari,Perempuan,"Jl. Kenanga No.28, Medan, Sumut, 20111",Medan
C00759,Indira Maulana,Perempuan,"Jl. Melati No.90, Jakarta, DKI, 10110",Jakarta
C03708,Rafi Wijaya,Perempuan,"Jl. Anggrek No.355, Yogyakarta, DIY, 55111",Yogyakarta
C04104,Putri Kusuma,Perempuan,"Jl. Anggrek No.365, Semarang, Jateng, 50111",Semarang
C00728,Yuli Fauzan,Laki-laki,"Jl. Cempaka No.157, Surabaya, Jatim, 60111",Surabaya
C01608,Rama Aditya,Laki-laki,"Jl. Cempaka No.308, Jakarta, DKI, 10110",Jakarta
C04021,Nanda Hartono,Laki-laki,"Jl. Mawar No.151, Makassar, Sulsel, 90111",Makassar
C00388,Deny Ramadhan,Perempuan,"Jl. Kenanga No.292, Surabaya, Jatim, 60111",Surabaya
C00029,Miko Nainggolan,Perempuan,"Jl. Kenanga No.107, Makassar, Sulsel, 90111",Makassar
C01228,Vania Siregar,Laki-laki,"Jl. Cempaka No.105, Yogyakarta, DIY, 55111",Yogyakarta
C00517,Arif Santoso,Perempuan,"Jl. Mawar No.102, Jakarta, DKI, 10110",Jakarta
C01781,Dewi Aditya,Laki-laki,"Jl. Mawar No.90, Makassar, Sulsel, 90111",Makassar
C03429,Indira Saputra,Perempuan,"Jl. Anggrek No.26, Yogyakarta, DIY, 55111",Yogyakarta
C01342,Vania Gani,Perempuan,"Jl. Mawar No.139, Semarang, Jateng, 50111",Semarang
C00217,Satria Aditya,Perempuan,"Jl. Melati No.281, Denpasar, Bali, 80111",Denpasar
C02717,Vera Hartono,Perempuan,"Jl. Melati No.39, Makassar, Sulsel, 90111",Makassar
C03464,Eko Rahma,Laki-laki,"Jl. Cempaka No.329, Yogyakarta, DIY, 55111",Yogyakarta
C01703,Fajar Hidayat,Laki-laki,"Jl. Melati No.382, Makassar, Sulsel, 90111",Makassar
C00857,Tara Prakoso,Laki-laki,"Jl. Melati No.121, Semarang, Jateng, 50111",Semarang
C03540,Eko Lestari,Laki-laki,"Jl. Melati No.91, Yogyakarta, DIY, 55111",Yogyakarta
C04428,Daffa Fauzan,Perempuan,"Jl. Melati No.358, Semarang, Jateng, 50111",Semarang
C02316,Tara Putri,Laki-laki,"Jl. Anggrek No.72, Bandung, Jawa Barat, 40111",Bandung
C01230,Fajar Fauzan,Laki-laki,"Jl. Anggrek No.67, Medan, Sumut, 20111",Medan
C02910,Miko Harahap,Perempuan,"Jl. Cempaka No.379, Surabaya, Jatim, 60111",Surabaya
C03037,Naufal Rahma,Perempuan,"Jl. Anggrek No.58, Denpasar, Bali, 80111",Denpasar
C03622,Eko Harahap,Laki-laki,"Jl. Melati No.222, Yogyakarta, DIY, 55111",Yogyakarta
C02218,Tomi Putri,Perempuan,"Jl. Cempaka No.264, Denpasar, Bali, 80111",Denpasar
C03829,Bella Rahma,Laki-laki,"Jl. Melati No.256, Surabaya, Jatim, 60111",Surabaya
C01450,Dimas Wibowo,Perempuan,"Jl. Melati No.213, Bandung, Jawa Barat, 40111",Bandung
C03874,Cahya Rahma,Laki-laki,"Jl. Anggrek No.303, Semarang, Jateng, 50111",Semarang
C03769,Reza Rahma,Laki-laki,"Jl. Kenanga No.154, Yogyakarta, DIY, 55111",Yogyakarta
C01427,Reza Lubis,Perempuan,"Jl. Cempaka No.336, Jakarta, DKI, 10110",Jakarta
C00310,Lestari Simanjuntak,Laki-laki,"Jl. Mawar No.196, Bandung, Jawa Barat, 40111",Bandung
C02256,Zahra Maulana,Laki-laki,"Jl. Anggrek No.166, Bandung, Jawa Barat, 40111",Bandung
C00918,Tara Gani,Laki-laki,"Jl. Cempaka No.309, Medan, Sumut, 20111",Medan
C01219,Rina Lubis,Perempuan,"Jl. Melati No.301, Jakarta, DKI, 10110",Jakarta
C03276,Tara Kusuma,Perempuan,"Jl. Mawar No.340, Bandung, Jawa Barat, 40111",Bandung
C01359,Deny Sari,Perempuan,"Jl. Cempaka No.33, Yogyakarta, DIY, 55111",Yogyakarta
C00592,Dimas Santoso,Laki-laki,"Jl. Melati No.122, Jakarta, DKI, 10110",Jakarta
C04423,Dinda Lestari,Laki-laki,"Jl. Anggrek No.20, Yogyakarta, DIY, 55111",Yogyakarta
C03697,Eko Utami,Laki-laki,"Jl. Cempaka No.119, Medan, Sumut, 20111",Medan
C04098,Fahri Lubis,Perempuan,"Jl. Melati No.376, Medan, Sumut, 20111",Medan
C04023,Rafi Pratama,Perempuan,"Jl. Anggrek No.92, Yogyakarta, DIY, 55111",Yogyakarta
C03889,Reza Wibowo,Perempuan,"Jl. Melati No.216, Yogyakarta, DIY, 55111",Yogyakarta
C00818,Gilang Gani,Laki-laki,"Jl. Kenanga No.162, Makassar, Sulsel, 90111",Makassar
C02846,Lestari Wijaya,Perempuan,"Jl. Mawar No.143, Semarang, Jateng, 50111",Semarang
C04084,Zahra Rahma,Perempuan,"Jl. Anggrek No.233, Denpasar, Bali, 80111",Denpasar
C01134,Bintang Simanjuntak,Laki-laki,"Jl. Mawar No.110, Bandung, Jawa Barat, 40111",Bandung
C02828,Reza Pratama,Laki-laki,"Jl. Melati No.383, Surabaya, Jatim, 60111",Surabaya
C00943,Bintang Putra,Perempuan,"Jl. Kenanga No.128, Bandung, Jawa Barat, 40111",Bandung
C04462,Nanda Ramadhan,Laki-laki,"Jl. Kenanga No.261, Bandung, Jawa Barat, 40111",Bandung
C01962,Adit Kusuma,Perempuan,"Jl. Cempaka No.181, Denpasar, Bali, 80111",Denpasar
C02834,Fajar Wibowo,Perempuan,"Jl. Cempaka No.118, Bandung, Jawa Barat, 40111",Bandung
C04483,Indira Putra,Perempuan,"Jl. Mawar No.93, Surabaya, Jatim, 60111",Surabaya
C00551,Lestari Harahap,Laki-laki,"Jl. Melati No.110, Surabaya, Jatim, 60111",Surabaya
C00266,Tara Mahardika,Laki-laki,"Jl. Melati No.10, Medan, Sumut, 20111",Medan
C02692,Arif Gani,Laki-laki,"Jl. Kenanga No.5, Medan, Sumut, 20111",Medan
C01674,Dinda Kusuma,Laki-laki,"Jl. Cempaka No.305, Semarang, Jateng, 50111",Semarang
C01882,Surya Simanjuntak,Laki-laki,"Jl. Mawar No.136, Jakarta, DKI, 10110",Jakarta
C00710,Bella Hartono,Perempuan,"Jl. Mawar No.62, Makassar, Sulsel, 90111",Makassar
C03636,Fahri Fauzan,Laki-laki,"Jl. Cempaka No.81, Denpasar, Bali, 80111",Denpasar
C00458,Indira Putri,Laki-laki,"Jl. Anggrek No.12, Bandung, Jawa Barat, 40111",Bandung
C04430,Dimas Wijaya,Laki-laki,"Jl. Cempaka No.134, Medan, Sumut, 20111",Medan
C03169,Dian Ginting,Laki-laki,"Jl. Melati No.329, Semarang, Jateng, 50111",Semarang
